openalex_id,display_name_or_alias,orcid,institutions,n_institutions,n_works_in_input
https://openalex.org/A5081683451,Davide Vurro,,Institute of Materials for Electronics and Magnetism; National Research Council,2,3
https://openalex.org/A5013220138,Domenico Gallipoli,https://orcid.org/0000-0003-1576-0742,University of Genoa,1,3
https://openalex.org/A5089083478,Erica Grange,https://orcid.org/0000-0001-5114-9276,Associazione Italiana Sclerosi Multipla,1,3
https://openalex.org/A5012557750,Franca Giannini,https://orcid.org/0000-0002-3608-6737,Istituto di Matematica Applicata e Tecnologie Informatiche; National Research Council,2,3
https://openalex.org/A5067154891,Francesco Rizzi,https://orcid.org/0000-0002-5142-5231,Center for Biomolecular Nanotechnologies; Italian Institute of Technology,2,3
https://openalex.org/A5083940595,Gaia de Marzo,https://orcid.org/0000-0002-8073-9395,Center for Biomolecular Nanotechnologies; Italian Institute of Technology,2,3
https://openalex.org/A5014223403,Gianmarco Manzini,https://orcid.org/0000-0003-3626-3112,Istituto di Matematica Applicata e Tecnologie Informatiche,1,3
https://openalex.org/A5079017232,Giorgio Grioli,https://orcid.org/0000-0002-5310-2997,Italian Institute of Technology; Piaggio (Italy); University of Pisa,3,3
https://openalex.org/A5115059683,Giulio Sciortino,,Italian Institute of Technology,1,3
https://openalex.org/A5048219701,Giuseppe De Giorgio,https://orcid.org/0000-0001-7368-2629,Institute of Materials for Electronics and Magnetism; National Research Council,2,3
https://openalex.org/A5052165793,Giuseppe Tarabella,https://orcid.org/0000-0002-8898-714X,Institute of Materials for Electronics and Magnetism; National Research Council,2,3
https://openalex.org/A5030447198,Leonardo Maria Lalicata,https://orcid.org/0000-0001-6321-5218,University of Genoa,1,3
https://openalex.org/A5004787217,Luca Fachechi,https://orcid.org/0000-0001-8911-3148,Center for Biomolecular Nanotechnologies; Italian Institute of Technology,2,3
https://openalex.org/A5019439848,Luca Tarasi,https://orcid.org/0000-0002-4977-3173,University of Genoa,1,3
https://openalex.org/A5009920702,Marco Bianco,https://orcid.org/0000-0001-9693-1106,Center for Biomolecular Nanotechnologies; Health First; Italian Institute of Technology,3,3
https://openalex.org/A5078647367,Marco Fossa,https://orcid.org/0000-0003-4219-3229,University of Genoa,1,3
https://openalex.org/A5057523445,Marta Berardengo,https://orcid.org/0000-0002-8625-0822,University of Genoa,1,3
https://openalex.org/A5020262838,Michael Pusch,https://orcid.org/0000-0002-8644-8847,Instituto di Biofisica,1,3
https://openalex.org/A5056032133,Michela Mortara,https://orcid.org/0000-0003-1074-1024,,0,3
https://openalex.org/A5077002739,Michele Ferrari,https://orcid.org/0000-0001-6370-605X,Institut de Nanociència i Nanotecnologia de la Universitat de Barcelona; Institute of Condensed Matter Chemistry and Technologies for Energy; National Research Council; Universitat de Barcelona; University of Genoa,5,3
https://openalex.org/A5020939882,Pasquale D’Angelo,https://orcid.org/0000-0002-4500-4457,Institute of Materials for Electronics and Magnetism; National Research Council,2,3
https://openalex.org/A5049564203,Pietro Mattioli,https://orcid.org/0000-0003-2563-5830,Ospedale Policlinico San Martino; University of Genoa,2,3
https://openalex.org/A5013954259,Samuele Memme,https://orcid.org/0000-0002-4126-6353,University of Genoa,1,3
https://openalex.org/A5066319682,Stefano Morchio,https://orcid.org/0000-0002-9045-9194,University of Genoa,1,3
https://openalex.org/A5115545781,T. Falchi Delitala,,Technology Transfer and Innovation (Italy),1,3
https://openalex.org/A5086973694,Valentina Squeri,,Istituto Nazionale per l'Assicurazione Contro gli Infortuni sul Lavoro; Italian Institute of Technology; Technology Transfer and Innovation (Italy),3,3
https://openalex.org/A5014405571,Veronica Penza,https://orcid.org/0000-0003-1096-560X,Italian Institute of Technology,1,3
https://openalex.org/A5048105470,Walter Setti,https://orcid.org/0000-0002-2336-6051,Italian Institute of Technology,1,3
https://openalex.org/A5089469997,Wojciech Mazurczyk,https://orcid.org/0000-0002-8509-4127,University of Hagen; Warsaw University of Technology,2,3
https://openalex.org/A5012147438,A. Alessandri,https://orcid.org/0000-0001-6878-9106,University of Genoa,1,2
https://openalex.org/A5017973608,Abraham Tettey‐Matey,https://orcid.org/0000-0001-9260-0940,Instituto di Biofisica,1,2
https://openalex.org/A5044997390,Alberto Baudena,https://orcid.org/0000-0002-8890-4324,Centre National de la Recherche Scientifique; Institute of Structure of Matter; Istituto di Scienze Marine del Consiglio Nazionale delle Ricerche; Laboratoire d’Océanographie de Villefranche; Sorbonne Université,5,2
https://openalex.org/A5004636149,Alessandra Picollo,https://orcid.org/0000-0003-2980-7951,Instituto di Biofisica; National Research Council,2,2
https://openalex.org/A5066743897,Alessandro Barcellona,,Italian Institute of Technology,1,2
https://openalex.org/A5028002342,Alessandro Bozzi,https://orcid.org/0000-0002-2436-0946,University of Genoa,1,2
https://openalex.org/A5010580164,Alessandro Ioppi,https://orcid.org/0000-0002-2764-715X,Hospital Clínic de Barcelona,1,2
https://openalex.org/A5004619817,Alessandro Lo Schiavo,https://orcid.org/0000-0003-3335-4182,"University of Campania ""Luigi Vanvitelli""",1,2
https://openalex.org/A5037420340,Ali Dabbous,https://orcid.org/0009-0004-8978-4979,University of Genoa,1,2
https://openalex.org/A5049104889,Andrea Bressan,https://orcid.org/0000-0003-3730-668X,Istituto di Matematica Applicata e Tecnologie Informatiche,1,2
https://openalex.org/A5048856985,Andrea Canessa,https://orcid.org/0000-0001-8946-5290,University of Genoa,1,2
https://openalex.org/A5090043163,Andrea Ranieri,https://orcid.org/0000-0001-8317-3158,Istituto di Matematica Applicata e Tecnologie Informatiche,1,2
https://openalex.org/A5060004334,Andrei Stefanov,,MedCom,1,2
https://openalex.org/A5033331100,Angela Tafadzwa Shumba,https://orcid.org/0000-0002-5888-7180,Center for Biomolecular Nanotechnologies; Innovation Engineering (Italy); Italian Institute of Technology; University of Salento,4,2
https://openalex.org/A5053250970,Angelo Ferrando,https://orcid.org/0000-0002-8711-4670,University of Modena and Reggio Emilia,1,2
https://openalex.org/A5082180334,Antonio Bicchi,https://orcid.org/0000-0001-8635-5571,Italian Institute of Technology; Piaggio (Italy),2,2
https://openalex.org/A5073759688,Antonio Qualtieri,https://orcid.org/0000-0002-2207-8111,Center for Biomolecular Nanotechnologies; Italian Institute of Technology,2,2
https://openalex.org/A5040970827,Aris Liboà,https://orcid.org/0009-0009-3329-2445,Institute of Materials for Electronics and Magnetism; University of Parma,2,2
https://openalex.org/A5041063778,Athanassia Athanassiou,https://orcid.org/0000-0002-6533-3231,Italian Institute of Technology,1,2
https://openalex.org/A5016588102,C. Boragno,https://orcid.org/0000-0001-5038-0214,University of Genoa,1,2
https://openalex.org/A5043549907,C. Pierella,,University of Genoa,1,2
https://openalex.org/A3176699038,"Cabiddu, Daniela",,,0,2
https://openalex.org/A2343238393,Carlo Regazzoni,,University of Genoa,1,2
https://openalex.org/A5031224507,Carmine Dodaro,https://orcid.org/0000-0002-5617-5286,University of Calabria,1,2
https://openalex.org/A5077810477,Cinzia Montinaro,https://orcid.org/0000-0002-7184-0854,Center for Biomolecular Nanotechnologies; Italian Institute of Technology,2,2
https://openalex.org/A5002739707,Claudio Sampieri,https://orcid.org/0000-0002-7699-2291,University of Genoa,1,2
https://openalex.org/A5075326339,Corrado Cabona,https://orcid.org/0000-0002-4282-8805,Ospedale Policlinico San Martino,1,2
https://openalex.org/A5081133789,Cristian Ciracì,https://orcid.org/0000-0003-3349-8389,Center for Biomolecular Nanotechnologies; Italian Institute of Technology,2,2
https://openalex.org/A5086509443,Daniela Ambrosino,https://orcid.org/0000-0001-6532-2287,University of Genoa,1,2
https://openalex.org/A5030704470,Daniela Gallo,https://orcid.org/0009-0009-3245-7738,,0,2
https://openalex.org/A5036812254,Davide Ancona,https://orcid.org/0000-0002-6297-2011,University of Genoa,1,2
https://openalex.org/A5042267442,Davide Menegazzo,https://orcid.org/0000-0001-9555-4599,,0,2
https://openalex.org/A5116454157,E. Misley,,University of Genoa,1,2
https://openalex.org/A5028547828,Elisa Pelosin,https://orcid.org/0000-0002-9880-2241,Ospedale Policlinico San Martino; University of Genoa,2,2
https://openalex.org/A5028891548,Fabio Vicini,https://orcid.org/0000-0001-7123-9199,Polytechnic University of Turin,1,2
https://openalex.org/A5057540350,Federico Gatti,https://orcid.org/0000-0002-2318-4039,Istituto di Matematica Applicata e Tecnologie Informatiche; Politecnico di Milano; Universidad Politécnica de Madrid,3,2
https://openalex.org/A5065904821,Federico Massa,https://orcid.org/0000-0001-5667-204X,Ospedale Policlinico San Martino; University of Genoa,2,2
https://openalex.org/A5106490636,Filippo Nicora,,University of Genoa,1,2
https://openalex.org/A5038401166,Florencia Garro,https://orcid.org/0000-0001-8845-0281,Italian Institute of Technology,1,2
https://openalex.org/A5045241890,Francesca Cirisano,https://orcid.org/0000-0003-3781-8466,Institute of Condensed Matter Chemistry and Technologies for Energy; National Research Council,2,2
https://openalex.org/A5049119710,Francesca Sbrana,https://orcid.org/0000-0001-7500-7774,Instituto di Biofisica; National Research Council,2,2
https://openalex.org/A5082344846,Francesco Bellotti,https://orcid.org/0000-0003-4109-4675,University of Genoa,1,2
https://openalex.org/A5046176286,Francesco Dagnino,https://orcid.org/0000-0003-3599-3535,University of Genoa,1,2
https://openalex.org/A5017108129,Fulvio Mastrogiovanni,https://orcid.org/0000-0001-5913-1898,University of Genoa,1,2
https://openalex.org/A5072423408,Gabriele Nardone,https://orcid.org/0000-0002-2724-4879,Istituto Superiore per la Protezione e la Ricerca Ambientale,1,2
https://openalex.org/A5072269409,Giacomo Paschina,,Esaote (Italy),1,2
https://openalex.org/A5052526781,Giorgio Peretti,https://orcid.org/0000-0003-2362-8936,Ospedale Policlinico San Martino; Ospedale Santa Chiara; University of Genoa,3,2
https://openalex.org/A5025151485,Giulia Lombardo,https://orcid.org/0000-0002-1760-9926,,0,2
https://openalex.org/A5048444161,Giulia Slavic,https://orcid.org/0000-0003-3641-3483,,0,2
https://openalex.org/A5068135932,Giulio Settanta,https://orcid.org/0000-0002-6454-2859,Istituto Superiore per la Protezione e la Ricerca Ambientale,1,2
https://openalex.org/A5018686179,Grazia Zambella,https://orcid.org/0000-0001-7546-9135,Piaggio (Italy); University of Pisa,2,2
https://openalex.org/A5085360592,Indya Ceroni,,Italian Institute of Technology,1,2
https://openalex.org/A5016650111,Isabella Cama,https://orcid.org/0000-0002-2096-4793,University of Genoa,1,2
